split_id,train_end_date,test_start_date,test_end_date,n_train,n_test,rmse,mae,r2,mape,model,category
7,2020-09-19,2020-09-20,2020-09-26,210,20,2.2204326715439944,1.783967,0.5279118017706991,20.273142766199722,RandomForest,茄类
7,2020-09-19,2020-09-20,2020-09-26,210,20,1.943895694808138,1.5494552206850145,0.6381789400291669,17.796739688978466,GradientBoosting,茄类
7,2020-09-19,2020-09-20,2020-09-26,210,20,1.678302779183217,1.4690430099721223,0.7302952761009079,25.421310805035287,Huber,茄类
0,2020-07-30,2020-07-31,2020-08-06,243,58,0.6860750671454403,0.44053068965517245,0.9249995331493597,20.55381812620265,RandomForest,辣椒类
0,2020-07-30,2020-07-31,2020-08-06,243,58,0.6328665729767115,0.4018317759063854,0.9361817327730624,17.76986729778219,GradientBoosting,辣椒类
0,2020-07-30,2020-07-31,2020-08-06,243,58,0.9384778014150484,0.7156011599074721,0.8596641266074218,46.32883805287219,Huber,辣椒类
1,2020-08-06,2020-08-07,2020-08-13,301,52,0.5828178214436374,0.377315,0.9200877296583638,19.649230707705605,RandomForest,辣椒类
1,2020-08-06,2020-08-07,2020-08-13,301,52,0.7196821478174115,0.4783453945530489,0.8781489480918838,25.882655801164756,GradientBoosting,辣椒类
1,2020-08-06,2020-08-07,2020-08-13,301,52,0.6860042632229201,0.5440641519852686,0.8892862777273359,54.054962415867436,Huber,辣椒类
2,2020-08-13,2020-08-14,2020-08-20,353,54,0.6184736942697755,0.41619333333333325,0.9235109473905796,17.682681035611914,RandomForest,辣椒类
2,2020-08-13,2020-08-14,2020-08-20,353,54,0.4705491651534662,0.3466139545903562,0.9557241577427031,20.812517837120335,GradientBoosting,辣椒类
2,2020-08-13,2020-08-14,2020-08-20,353,54,0.7036366638876319,0.5175600907580569,0.9009957726645383,35.133398070987816,Huber,辣椒类
3,2020-08-20,2020-08-21,2020-08-27,407,55,0.7866394009085853,0.5092694545454545,0.9038405028696945,15.166968754369343,RandomForest,辣椒类
